iter	Passed	Remaining
254	10646	31103
255	10690	31068
256	10729	31018
257	10768	30969
258	10807	30920
259	10855	30897
260	10897	30854
261	10942	30823
262	10991	30800
263	11036	30767
264	11091	30763
265	11146	30758
266	11204	30758
267	11252	30735
268	11304	30718
269	11350	30689
270	11399	30664
271	11445	30634
272	11496	30614
273	11543	30586
274	11587	30548
275	11633	30517
276	11678	30483
277	11726	30453
278	11770	30418
279	11817	30388
280	11862	30352
281	11907	30317
282	11948	30273
283	11990	30230
284	12038	30201
285	12082	30164
286	12129	30133
287	12170	30089
288	12210	30040
289	12257	30010
290	12300	29968
291	12343	29928
292	12380	29873
293	12418	29821
294	12452	29759
295	12491	29709
296	12530	29660
297	12577	29627
298	12618	29583
299	12663	29548
300	12713	29523
301	12756	29483
302	12799	29443
303	12836	29389
304	12882	29354
305	12926	29316
306	12966	29270
307	13006	29222
308	13049	29182
309	13101	29161
310	13148	29128
311	13192	29090
312	13233	29046
313	13272	28996
314	13314	28954
315	13360	28918
316	13398	28868
317	13434	28811
318	13472	28761
319	13511	28712
320	13547	28655
321	13581	28596
322	13621	28549
323	13659	28499
324	13700	28455
325	13741	28410
326	13782	28366
327	13828	28331
328	13871	28292
329	13912	28247
330	13949	28193
331	13991	28150
332	14027	28097
333	14064	28045
334	14109	28007
335	14149	27962
336	14188	27914
337	14227	27865
338	14262	27809
339	14305	27770
340	14342	27718
341	14381	27668
342	14418	27617
343	14457	27569
344	14493	27517
345	14532	27468
346	14567	27413
347	14605	27364
348	14646	27321
349	14687	27277
350	14729	27234
351	14768	27187
352	14805	27137
353	14844	27089
354	14883	27042
355	14925	27000
356	14970	26962
357	15009	26917
358	15052	26876
359	15090	26827
360	15135	26791
361	15176	26747
362	15218	26705
363	15258	26661
364	15297	26613
365	15343	26578
366	15383	26532
367	15419	26481
368	15455	26428
369	15494	26382
370	15539	26346
371	15591	26321
372	15635	26283
373	15680	26245
374	15723	26206
375	15766	26165
376	15809	26125
377	15851	26083
378	15892	26040
379	15936	26001
380	15979	25961
381	16023	25922
382	16068	25885
383	16114	25850
384	16208	25892
385	16263	25869
386	16312	25837
387	16356	25799
388	16396	25753
389	16435	25706
390	16482	25672
391	16521	25624
392	16567	25588
393	16615	25555
394	16665	25525
395	16709	25486
396	16754	25448
397	16798	25409
398	16846	25375
399	16892	25339
400	16935	25297
401	16976	25253
402	17021	25214
403	17069	25182
404	17117	25148
405	17154	25098
406	17196	25054
407	17235	25008
408	17275	24963
409	17320	24924
410	17358	24875
411	17400	24833
412	17444	24793
413	17484	24749
414	17534	24716
415	17585	24687
416	17628	24646
417	17671	24604
418	17713	24562
419	17757	24522
420	17800	24480
421	17848	24446
422	17894	24408
423	17935	24364
424	17977	24322
425	18028	24291
426	18071	24250
427	18114	24209
428	18156	24165
429	18200	24125
430	18239	24079
431	18287	24044
432	18331	24005
433	18374	23963
434	18416	23920
435	18465	23886
436	18505	23841
437	18548	23799
438	18585	23751
439	18628	23708
440	18670	23666
441	18712	23623
442	18751	23577
443	18787	23527
444	18826	23480
445	18867	23436
446	18907	23390
447	18947	23346
448	18988	23302
449	19026	23254
450	19071	23215
451	19110	23169
452	19151	23125
453	19189	23077
454	19230	23034
455	19267	22985
456	19302	22934
457	19340	22887
458	19381	22843
459	19420	22797
460	19459	22752
461	19500	22708
462	19540	22663
463	19582	22620
464	19622	22576
465	19658	22527
466	19698	22481
467	19740	22439
468	19782	22397
469	19818	22348
470	19859	22305
471	19902	22263
472	19944	22221
473	19983	22175
474	20023	22131
475	20067	22090
476	20109	22048
477	20151	22006
478	20190	21960
479	20231	21917
480	20272	21874
481	20312	21829
482	20351	21784
483	20395	21744
484	20435	21699
485	20475	21654
486	20513	21608
487	20555	21566
488	20601	21528
489	20639	21481
490	20688	21446
491	20732	21406
492	20776	21366
493	20817	21323
494	20865	21286
495	20905	21242
496	20953	21206
497	21003	21172
498	21047	21131
499	21096	21096
500	21143	21058
501	21190	21021
502	21235	20981
503	21280	20942
504	21330	20908
505	21376	20869
506	21416	20825
507	21458	20782
508	21507	20746
509	21551	20705
510	21592	20662
511	21638	20624
512	21684	20585
513	21725	20542
514	21772	20504
515	21818	20465
516	21859	20422
517	21902	20380
518	21950	20343
519	21992	20300
520	22041	20264
521	22085	20224
522	22138	20191
523	22181	20149
524	22225	20109
525	22271	20069
526	22314	20027
527	22361	19989
528	22399	19943
529	22440	19899
530	22489	19863
531	22537	19825
532	22581	19785
533	22622	19741
534	22667	19701
535	22712	19661
536	22754	19618
537	22799	19578
538	22844	19539
539	22891	19500
540	22937	19460
541	22981	19419
542	23026	19379
543	23069	19337
544	23117	19299
545	23162	19259
546	23203	19215
547	23244	19172
548	23290	19133
549	23339	19095
550	23382	19053
551	23423	19010
552	23470	18971
553	23514	18930
554	23560	18890
555	23608	18852
556	23649	18809
557	23694	18768
558	23738	18727
559	23787	18690
560	23829	18647
561	23876	18608
562	23917	18564
563	23957	18520
564	23998	18476
565	24046	18438
566	24088	18395
567	24135	18356
568	24186	18320
569	24233	18281
570	24279	18241
571	24326	18202
572	24373	18163
573	24417	18121
574	24460	18079
575	24502	18036
576	24544	17993
577	24587	17951
578	24626	17906
579	24671	17865
580	24715	17823
581	24759	17782
582	24802	17740
583	24843	17696
584	24887	17655
585	24935	17616
586	24984	17578
587	25027	17536
588	25074	17496
589	25121	17457
590	25165	17415
591	25214	17377
592	25261	17337
593	25311	17300
594	25358	17260
595	25397	17216
596	25441	17174
597	25483	17131
598	25523	17086
599	25563	17042
600	25606	16999
601	25645	16954
602	25687	16911
603	25727	16867
604	25763	16820
605	25799	16773
606	25841	16730
607	25884	16688
608	25925	16644
609	25964	16600
610	26008	16558
611	26052	16517
612	26095	16474
613	26137	16431
614	26180	16389
615	26222	16346
616	26263	16302
617	26302	16258
618	26342	16213
619	26385	16171
620	26423	16126
621	26461	16081
622	26503	16038
623	26544	15994
624	26581	15948
625	26624	15906
626	26668	15864
627	26707	15820
628	26747	15776
629	26786	15731
630	26838	15694
631	26877	15650
632	26914	15604
633	26955	15561
634	26995	15517
635	27034	15472
636	27070	15426
637	27110	15382
638	27145	15335
639	27184	15291
640	27224	15247
641	27261	15201
642	27302	15158
643	27340	15113
644	27389	15074
645	27425	15028
646	27465	14984
647	27500	14938
648	27537	14893
649	27589	14855
650	27646	14821
651	27698	14783
652	27748	14745
653	27804	14709
654	27864	14676
655	27914	14637
656	27954	14594
657	27998	14552
658	28037	14508
659	28073	14462
660	28119	14421
661	28155	14375
662	28195	14331
663	28233	14286
664	28274	14243
665	28314	14199
666	28354	14155
667	28397	14113
668	28440	14071
669	28480	14027
670	28520	13983
671	28563	13941
672	28601	13896
673	28642	13853
674	28683	13810
675	28725	13767
676	28780	13731
677	28826	13690
678	28867	13647
679	28908	13603
680	28948	13560
681	28991	13518
682	29030	13474
683	29069	13429
684	29111	13387
685	29147	13341
686	29185	13296
687	29220	13250
688	29262	13208
689	29305	13166
690	29348	13123
691	29390	13081
692	29433	13039
693	29474	12995
694	29513	12952
695	29557	12910
696	29607	12871
697	29645	12826
698	29685	12783
699	29725	12739
700	29774	12699
701	29816	12657
702	29857	12613
703	29895	12569
704	29936	12526
705	29976	12483
706	30014	12438
707	30056	12396
708	30093	12351
709	30132	12307
710	30176	12265
711	30216	12222
712	30258	12179
713	30303	12138
714	30341	12094
715	30381	12050
716	30419	12006
717	30459	11963
718	30497	11919
719	30533	11874
720	30579	11832
721	30622	11790
722	30665	11748
723	30709	11707
724	30749	11663
725	30787	11619
726	30825	11575
727	30863	11531
728	30902	11487
729	30942	11444
730	30982	11401
731	31019	11356
732	31061	11314
733	31103	11271
734	31141	11227
735	31187	11186
736	31235	11146
737	31279	11104
738	31329	11065
739	31371	11022
740	31413	10979
741	31451	10936
742	31488	10891
743	31528	10848
744	31565	10804
745	31604	10760
746	31642	10717
747	31689	10676
748	31730	10633
749	31767	10589
750	31804	10545
751	31850	10503
752	31898	10463
753	31939	10420
754	31984	10378
755	32023	10335
756	32069	10294
757	32116	10253
758	32168	10214
759	32216	10173
760	32255	10130
761	32297	10087
762	32345	10046
763	32392	10006
764	32437	9964
765	32475	9920
766	32524	9880
767	32571	9839
768	32611	9796
769	32650	9752
770	32693	9710
771	32735	9667
772	32774	9624
773	32815	9581
774	32857	9539
775	32899	9496
776	32937	9453
777	32976	9409
778	33013	9365
779	33062	9325
780	33111	9284
781	33151	9241
782	33193	9199
783	33231	9155
784	33275	9113
785	33320	9072
786	33365	9030
787	33414	8989
788	33461	8948
789	33509	8907
790	33553	8865
791	33592	8822
792	33630	8778
793	33671	8735
794	33709	8692
795	33751	8649
796	33791	8606
797	33830	8563
798	33872	8521
799	33913	8478
800	33951	8434
801	33989	8391
802	34029	8348
803	34067	8304
804	34109	8262
805	34147	8219
806	34187	8176
807	34230	8134
808	34273	8091
809	34312	8048
810	34349	8004
811	34393	7963
812	34436	7920
813	34478	7878
814	34515	7834
815	34559	7792
816	34598	7749
817	34641	7707
818	34689	7666
819	34732	7624
820	34777	7582
821	34820	7540
822	34868	7499
823	34911	7456
824	34953	7414
825	34996	7372
826	35038	7329
827	35083	7287
828	35123	7245
829	35162	7202
830	35207	7160
831	35245	7116
832	35286	7074
833	35330	7032
834	35372	6989
835	35413	6947
836	35462	6906
837	35503	6863
838	35544	6820
839	35581	6777
840	35622	6734
841	35669	6693
842	35707	6650
843	35747	6607
844	35790	6565
845	35828	6521
846	35869	6479
847	35913	6437
848	35980	6399
849	36021	6356
850	36060	6313
851	36137	6277
852	36201	6238
853	36258	6198
854	36303	6156
855	36341	6113
856	36379	6070
857	36422	6027
858	36460	5984
859	36501	5942
860	36541	5899
861	36580	5856
862	36617	5812
863	36660	5770
864	36699	5727
865	36736	5684
866	36774	5641
867	36812	5598
868	36849	5555
869	36889	5512
870	36928	5469
871	36971	5426
872	37010	5384
873	37055	5342
874	37097	5299
875	37138	5257
876	37177	5214
877	37213	5170
878	37256	5128
879	37297	5086
880	37337	5043
881	37383	5001
882	37424	4958
883	37465	4916
884	37509	4874
885	37552	4831
886	37594	4789
887	37638	4747
888	37677	4704
889	37714	4661
890	37750	4618
891	37792	4575
892	37828	4532
893	37868	4490
894	37909	4447
895	37954	4405
896	37991	4362
897	38033	4320
898	38070	4277
899	38110	4234
900	38149	4191
901	38187	4148
902	38226	4106
903	38266	4063
904	38310	4021
905	38349	3978
906	38393	3936
907	38434	3894
908	38472	3851
909	38508	3808
910	38558	3766
911	38600	3724
912	38641	3682
913	38684	3639
914	38728	3597
915	38771	3555
916	38818	3513
917	38862	3471
918	38906	3429
919	38944	3386
920	38989	3344
921	39036	3302
922	39075	3259
923	39110	3216
924	39148	3174
925	39194	3132
926	39232	3089
927	39273	3047
928	39312	3004
929	39351	2961
930	39395	2919
931	39434	2877
932	39476	2834
933	39517	2792
934	39555	2749
935	39594	2707
936	39635	2664
937	39675	2622
938	39714	2579
939	39752	2537
940	39797	2495
941	39840	2453
942	39883	2410
943	39921	2368
944	39962	2325
945	40012	2284
946	40057	2241
947	40104	2199
948	40142	2157
949	40185	2115
950	40225	2072
951	40270	2030
952	40320	1988
953	40360	1946
954	40399	1903
955	40442	1861
956	40481	1818
957	40520	1776
958	40561	1734
959	40598	1691
960	40641	1649
961	40684	1607
962	40724	1564
963	40768	1522
964	40808	1480
965	40852	1437
966	40895	1395
967	40940	1353
968	40981	1311
969	41022	1268
970	41066	1226
971	41103	1184
972	41141	1141
973	41185	1099
974	41228	1057
975	41266	1014
976	41307	972
977	41344	930
978	41382	887
979	41425	845
980	41466	803
981	41505	760
982	41544	718
983	41585	676
984	41628	633
985	41676	591
986	41717	549
987	41760	507
988	41796	464
989	41837	422
990	41878	380
991	41915	338
992	41965	295
993	42005	253
994	42049	211
995	42089	169
996	42130	126
997	42170	84
998	42209	42
999	42247	0
