iter	RMSE
490	0.4541178258
491	0.4540485488
492	0.4539772227
493	0.4539327994
494	0.453871049
495	0.4538277542
496	0.4537714076
497	0.4536915289
498	0.4536476228
499	0.4535887726
500	0.4535378971
501	0.4534573768
502	0.4534044086
503	0.4533374134
504	0.4532380764
505	0.4531626812
506	0.4531218639
507	0.4530671693
508	0.4529531782
509	0.4528935771
510	0.4528537667
511	0.4527911878
512	0.4527219855
513	0.4526631167
514	0.4526238146
515	0.4525591514
516	0.4525264507
517	0.4524517792
518	0.4524075325
519	0.4523636919
520	0.4523162904
521	0.4522657482
522	0.4521996166
523	0.4521557675
524	0.4521087292
525	0.4520570185
526	0.4520170244
527	0.4519561053
528	0.4519124766
529	0.451837938
530	0.4517690089
531	0.4517227486
532	0.4516659402
533	0.451615236
534	0.4515747558
535	0.4515178694
536	0.4514712417
537	0.4514223445
538	0.4513340239
539	0.4512780256
540	0.4512304657
541	0.4511780655
542	0.4511241724
543	0.451086745
544	0.45104274
545	0.4509718212
546	0.4509321504
547	0.4508711077
548	0.4508356636
549	0.4507900079
550	0.4507592388
551	0.4507214227
552	0.4506670058
553	0.4505959479
554	0.4505539541
555	0.4505015709
556	0.4504698978
557	0.4504172485
558	0.4503505871
559	0.450297714
560	0.450250726
561	0.4501853172
562	0.450147235
563	0.450104021
564	0.4500646807
565	0.4500051976
566	0.449970316
567	0.4499273185
568	0.4498492911
569	0.4497966445
570	0.4497281961
571	0.4496861559
572	0.4496325046
573	0.4495715874
574	0.4495079563
575	0.4494391823
576	0.449399265
577	0.4493483784
578	0.4493131982
579	0.4492716464
580	0.4492176617
581	0.4491813873
582	0.4491285328
583	0.4490816504
584	0.4490337325
585	0.4489777405
586	0.4488951472
587	0.4488461603
588	0.448785898
589	0.4487466692
590	0.4487041323
591	0.4486232588
592	0.4485751452
593	0.4484881101
594	0.4484372506
595	0.448400752
596	0.4483234846
597	0.4482650269
598	0.4482189125
599	0.4481723825
600	0.4481284371
601	0.4480895384
602	0.4480170156
603	0.4479728841
604	0.4479342147
605	0.4478893201
606	0.4478413944
607	0.4477662499
608	0.4477120237
609	0.4476573908
610	0.4475925195
611	0.447542443
612	0.4474855691
613	0.447430811
614	0.4473666869
615	0.4473211403
616	0.4472793282
617	0.4472436566
618	0.4471969525
619	0.4471363376
620	0.4470842974
621	0.4470507003
622	0.447003895
623	0.446970239
624	0.4469278941
625	0.4468833473
626	0.4468467473
627	0.4468111233
628	0.4467638299
629	0.4467174642
630	0.4466563134
631	0.4466141881
632	0.4465580519
633	0.4465181664
634	0.4464584516
635	0.4464037541
636	0.4463711012
637	0.4463217327
638	0.4462823117
639	0.446242679
640	0.4461925998
641	0.4461567866
642	0.4461007932
643	0.4460694358
644	0.4460247464
645	0.445992465
646	0.4459365482
647	0.4459066351
648	0.4458713489
649	0.4458252605
650	0.4457652931
651	0.4457115759
652	0.4456672094
653	0.4456222709
654	0.4455559
655	0.4455060872
656	0.4454710426
657	0.4454320572
658	0.4453904348
659	0.4453481694
660	0.4453102121
661	0.4452745261
662	0.4452205012
663	0.4451886407
664	0.4451443743
665	0.4451069738
666	0.4450693793
667	0.4450148105
668	0.4449472114
669	0.4448927791
670	0.4448536602
671	0.4448128558
672	0.44478542
673	0.4447397474
674	0.44469241
675	0.444662164
676	0.4446190975
677	0.444591308
678	0.4445196307
679	0.4444426401
680	0.444407011
681	0.4443339594
682	0.4442830132
683	0.4442533602
684	0.4442273644
685	0.4441894784
686	0.4441416645
687	0.4441134337
688	0.4440623071
689	0.4440076399
690	0.4439759371
691	0.4439323318
692	0.4438756956
693	0.4438266125
694	0.4437844283
695	0.4437255266
696	0.44366587
697	0.4436377087
698	0.4435788518
699	0.4435488466
700	0.443490139
701	0.4434503349
702	0.4434095478
703	0.4433654974
704	0.4433290637
705	0.4432830699
706	0.4432503283
707	0.4431845303
708	0.4431519504
709	0.4431223057
710	0.4430746795
711	0.4430433312
712	0.4430108943
713	0.4429634585
714	0.4429222818
715	0.4428813561
716	0.4428433894
717	0.4428001189
718	0.4427764907
719	0.4427409147
720	0.442684008
721	0.4426416252
722	0.4425956369
723	0.4425605137
724	0.4425243252
725	0.442494653
726	0.4424579685
727	0.4424252166
728	0.442392609
729	0.442342365
730	0.4423133658
731	0.4422734616
732	0.4422047474
733	0.442173732
734	0.4421368754
735	0.4420482164
736	0.4419955675
737	0.4419609254
738	0.4419189178
739	0.4418820022
740	0.441846556
741	0.4418019546
742	0.441774797
743	0.4417394806
744	0.4417069004
745	0.4416806519
746	0.4416314122
747	0.441581056
748	0.4415475049
749	0.4414992897
750	0.4414723633
751	0.441427284
752	0.4413646697
753	0.4413272455
754	0.4412917147
755	0.4412533558
756	0.4412180913
757	0.4411850315
758	0.4411460062
759	0.4411117763
760	0.4410853169
761	0.4410443278
762	0.440982738
763	0.440916435
764	0.4408775614
765	0.4408476054
766	0.4408073817
767	0.440759497
768	0.440721387
769	0.4406767915
770	0.4406403183
771	0.4406059517
772	0.4405798454
773	0.4405402485
774	0.4405001949
775	0.4404395532
776	0.4403930403
777	0.4403555219
778	0.4403288944
779	0.4402956099
780	0.4402538086
781	0.4402218133
782	0.4401909144
783	0.4401472388
784	0.4401091738
785	0.4400604562
786	0.4400195548
787	0.439970232
788	0.4399246646
789	0.4398925426
790	0.4398169601
791	0.4397869927
792	0.439753525
793	0.4396916978
794	0.4396617948
795	0.439618036
796	0.4395491914
797	0.439511456
798	0.4394583265
799	0.4394318874
800	0.4394001156
801	0.4393723963
802	0.4393426634
803	0.4393083857
804	0.4392717313
805	0.4392321191
806	0.4391978849
807	0.4391543072
808	0.4391147044
809	0.4390751264
810	0.4390434058
811	0.4390113521
812	0.4389677306
813	0.4389024155
814	0.4388793493
815	0.4388381013
816	0.4388097015
817	0.4387362821
818	0.438676766
819	0.4386429687
820	0.4386089587
821	0.4385832637
822	0.4385372678
823	0.4385036243
824	0.4384539795
825	0.4384082169
826	0.4383794007
827	0.4383468467
828	0.438314645
829	0.4382875648
830	0.4382459423
831	0.4382164075
832	0.4381808578
833	0.4381225851
834	0.4380791625
835	0.4380513768
836	0.4380129439
837	0.4379871624
838	0.4379565169
839	0.4379258187
840	0.4378859708
841	0.4378118173
842	0.4377776226
843	0.4377286961
844	0.437701024
845	0.4376708022
846	0.4376261822
847	0.4375819355
848	0.4375474284
849	0.4375124477
850	0.4374742258
851	0.4374087387
852	0.4373618225
853	0.4372791173
854	0.4372439724
855	0.437198505
856	0.4371501628
857	0.43709784
858	0.4370669554
859	0.4370405077
860	0.4370000956
861	0.4369617716
862	0.4369270216
863	0.4368903349
864	0.436851635
865	0.436816625
866	0.4367851622
867	0.4367575085
868	0.4367312463
869	0.4366997476
870	0.4366604987
871	0.4366175241
872	0.4365832914
873	0.4365460228
874	0.4365064709
875	0.4364637446
876	0.4364261221
877	0.4363952544
878	0.4363439134
879	0.436302479
880	0.43626179
881	0.4362310396
882	0.4361921604
883	0.4361581193
884	0.4361118812
885	0.4360710954
886	0.4360407616
887	0.4359888232
888	0.4359504144
889	0.435918603
890	0.4358885839
891	0.4358352347
892	0.4358125728
893	0.4357748752
894	0.4357372444
895	0.4356975328
896	0.4356720774
897	0.4356327609
898	0.43559966
899	0.4355583758
900	0.4355290087
901	0.4354944092
902	0.4354520308
903	0.4354022945
904	0.435362841
905	0.435327174
906	0.4352847498
907	0.4352474056
908	0.4352074531
909	0.4351909427
910	0.4351585366
911	0.4351255937
912	0.4350841865
913	0.4350369442
914	0.4350041659
915	0.4349795546
916	0.4349479101
917	0.4348985725
918	0.4348626235
919	0.4348270951
920	0.4348065312
921	0.4347633931
922	0.4347230838
923	0.4346915538
924	0.4346583423
925	0.4346145577
926	0.4345901358
927	0.4345547077
928	0.4345236972
929	0.4344959282
930	0.4344532436
931	0.4344253955
932	0.4343950775
933	0.4343624127
934	0.4343336791
935	0.434298121
936	0.43424814
937	0.4342064015
938	0.4341860172
939	0.4341497128
940	0.4341154506
941	0.4340747748
942	0.4340378246
943	0.4340117086
944	0.4339774895
945	0.4339294245
946	0.4338809854
947	0.433848802
948	0.4338233188
949	0.4337902688
950	0.4337524815
951	0.4337169585
952	0.433670216
953	0.4336414799
954	0.43362057
955	0.4335886073
956	0.4335536115
957	0.4335112775
958	0.4334757707
959	0.4334463715
960	0.4334017054
961	0.4333732095
962	0.4333431029
963	0.4332970919
964	0.4332561813
965	0.4332196367
966	0.4331792811
967	0.433150388
968	0.4331275921
969	0.433100611
970	0.4330715166
971	0.4330473523
972	0.4330187483
973	0.4329847379
974	0.4329502326
975	0.4329140187
976	0.4328841138
977	0.4328564976
978	0.4328271347
979	0.4327720292
980	0.4327334987
981	0.4327063193
982	0.4326783274
983	0.4326443565
984	0.4326125989
985	0.4325861277
986	0.4325617874
987	0.4325129743
988	0.4324926566
989	0.4324648532
990	0.4324308138
991	0.4324042646
992	0.4323787604
993	0.4323556735
994	0.4323077182
995	0.4322807984
996	0.4322540983
997	0.432220317
998	0.4321904548
999	0.4321645912
